tp_semantics,sf_max_en,adr_set_point,adr_sf_mode,sf_max_adr,energy_over,energy_rmse,toa_rmse,energy_rmse_ml_friis,toa_rmse_ml_friis,total
text,10,continuous,both,12,all,57.28609890854836,57.902624227220436,43.26319679520713,46.507756576687115,57.59518652004992
corrected,10,nStep3,both,12,delivered,62.44537382710807,55.157193081921875,47.34753826743074,43.91740815285133,58.914092800804816
corrected,10,nStep3,both,12,all,63.44225163924376,56.00079486742478,48.20795796001936,44.61618947405806,59.83731410600127
text,10,nStep3,both,12,delivered,64.65880427946483,55.157193081921875,50.282906203600255,43.91740815285133,60.09607690825812
text,10,nStep3,both,12,all,65.90335584482285,56.00079486742478,51.32490203169791,44.61618947405806,61.15284677507964
corrected,10,continuous,up_only,12,delivered,56.04942545315138,67.29017148194893,41.39220438374528,55.56218011548398,61.925379577756594
corrected,10,continuous,up_only,12,all,57.03159396137397,67.87342026571744,42.169934293632345,56.05298733974628,62.68733479875233
text,10,continuous,up_only,12,delivered,58.364422628443656,67.29017148194893,44.42067079532455,55.56218011548398,62.985605525475734
text,10,continuous,up_only,12,all,59.66480078640176,67.87342026571744,45.47095750887618,56.05298733974628,63.90105488741055
text,12,nStep3,fixed,12,all,87.82447580291404,68.74252166807688,61.7449662150727,53.135430228855185,78.86276952828455
text,12,nStep3,fixed,10,all,87.82447580291404,68.74252166807688,61.7449662150727,53.135430228855185,78.86276952828455
text,12,continuous,up_only,10,all,92.99393636308587,66.41650847802897,65.28445904842457,51.21551441059102,80.80539833053778
text,12,nStep3,fixed,10,delivered,90.498502766543,70.50992385369985,62.73113887687081,53.9839271278778,81.12221756350273
text,12,nStep3,fixed,12,delivered,90.498502766543,70.50992385369985,62.73113887687081,53.9839271278778,81.12221756350273
text,12,continuous,fixed,10,all,95.26691843007562,68.74252166807688,67.07079516954958,53.135430228855185,83.07021136499142
text,12,continuous,fixed,12,all,95.26691843007562,68.74252166807688,67.07079516954958,53.135430228855185,83.07021136499142
text,12,continuous,up_only,10,delivered,96.10435993379915,68.18144764363156,66.57900050269086,52.03817728381124,83.32093914817118
text,12,continuous,fixed,12,delivered,98.31751413604265,70.50992385369985,68.34503835040898,53.9839271278778,85.55110445735197
text,12,continuous,fixed,10,delivered,98.31751413604265,70.50992385369985,68.34503835040898,53.9839271278778,85.55110445735197
corrected,12,nStep3,fixed,12,all,101.20430458734741,68.74252166807688,75.85467203797856,53.135430228855185,86.50966868591802
corrected,12,nStep3,fixed,10,all,101.20430458734741,68.74252166807688,75.85467203797856,53.135430228855185,86.50966868591802
corrected,12,continuous,up_only,10,all,107.42934861253396,66.41650847802897,80.5272778098563,51.21551441059102,89.30906320672456
corrected,12,nStep3,fixed,10,delivered,105.12943466906366,70.50992385369985,77.97664278974175,53.9839271278778,89.50934977892386
