sf_max,min_tp,max_tp,line28,variant,adr_order,adr_window,mae_adr_lm,mae_friis_lm,mae_ml_lm,mae_energy_pp,mae_toa_pp,n_unreachable,score
12,10.0,20.0,repaired,corrected,expanding,20,,0.95,1.7916666666666667,,,11,29.741666666666667
12,10.0,20.0,repaired,corrected,expanding,50,,0.95,1.7916666666666667,,,11,29.741666666666667
12,10.0,20.0,repaired,corrected,expanding,100,,0.95,1.7916666666666667,,,11,29.741666666666667
12,10.0,20.0,repaired,corrected,expanding,200,,0.95,1.7916666666666667,,,11,29.741666666666667
12,10.0,20.0,repaired,corrected,per_device_max,20,,0.95,1.7916666666666667,,,11,29.741666666666667
12,10.0,20.0,repaired,corrected,per_device_max,50,,0.95,1.7916666666666667,,,11,29.741666666666667
12,10.0,20.0,repaired,corrected,per_device_max,100,,0.95,1.7916666666666667,,,11,29.741666666666667
12,10.0,20.0,repaired,corrected,per_device_max,200,,0.95,1.7916666666666667,,,11,29.741666666666667
11,10.0,20.0,repaired,corrected,per_device_max,200,,0.95,1.7916666666666667,,,11,29.741666666666667
11,10.0,20.0,repaired,corrected,per_device_max,100,,0.95,1.7916666666666667,,,11,29.741666666666667
11,10.0,20.0,repaired,corrected,per_device_max,50,,0.95,1.7916666666666667,,,11,29.741666666666667
11,10.0,20.0,repaired,corrected,per_device_max,20,,0.95,1.7916666666666667,,,11,29.741666666666667
11,10.0,20.0,repaired,corrected,expanding,200,,0.95,1.7916666666666667,,,11,29.741666666666667
11,10.0,20.0,repaired,corrected,expanding,100,,0.95,1.7916666666666667,,,11,29.741666666666667
11,10.0,20.0,repaired,corrected,expanding,50,,0.95,1.7916666666666667,,,11,29.741666666666667
11,10.0,20.0,repaired,corrected,expanding,20,,0.95,1.7916666666666667,,,11,29.741666666666667
